,Auteur,Crédit photo,Date de création,Domaine,Matière et technique,Mesures,Mode d’acquisition,Mots-clés,Numéro d'inventaire,Titre
0,VUILLARD Edouard  (1868-1940),© 2011 MuMa Le Havre / Charles Maslard,1915,arts graphiques,Dessin sur papier,Hauteur avec cadre en cm : 87 ; Largeur avec cadre en cm : 63 ; Hauteur en cm : 70 ; Largeur en cm : 54,"legs Charles-Auguste Marande, 1936",,AD 133.5,Au coin de la fenêtre
1,MENARD René  (1862-1930),© 2011 MuMa Le Havre / Charles Maslard,vers 1905,arts graphiques,Pastel,"Hauteur avec cadre en cm : 41 ; Largeur avec cadre en cm : 104,2 ; Hauteur en cm : 36 ; Largeur en cm : 94,5 ; Epaisseur avec cadre en cm : 4,3","achat de la Ville, 1973",,74.1,Le Golfe
2,VALLOTTON Félix  (1865-1925),© 2013 MuMa Le Havre / David Fogel,1887,peinture,huile sur toile,Hauteur avec cadre en cm : 45 ; Largeur avec cadre en cm : 36 ; Epaisseur avec cadre en cm : 5.5 ; Hauteur en cm : 32.7 ; Largeur en cm : 24.8,"collection Olivier Senn. Donation Hélène Senn-Foulds, 2004",Post-Impressionnisme ; nature morte ; chaise ; haut-de-forme ; canne ; tableau ; porte ; table ; vase ; bouquet ; fleur ; médaillon orn. ; effet de lumière,2004.3.67,"Le Haut-de-forme, intérieur (ou) La Visite"
3,VUILLARD Edouard  (1868-1940),© 2005 MuMa Le Havre / Florian Kleinefenn,1906,peinture,huile sur carton contrecollé sur panneau parqueté,Hauteur avec cadre en cm : 33.7 ; Largeur avec cadre en cm : 44.3 ; Epaisseur avec cadre en cm : 4 ; Hauteur en cm : 16.5 ; Largeur en cm : 28,"collection Olivier Senn. Donation Hélène Senn-Foulds, 2004",scène de genre ; personnage ; enfant ; livre imprimé,2004.3.71,"Enfants lisant Enfants lisant, Jacques et Annette Roussel"
4,PISSARRO Camille  (1830-1903),© 2013 MuMa Le Havre / David Fogel,1903,peinture,Huile sur toile,Hauteur avec cadre en cm : 67.4 ; Largeur avec cadre en cm : 78 ; Hauteur en cm : 54.5 ; Largeur en cm : 65 ; Epaisseur avec cadre en cm : 5.4,"achat de la Ville, 1903",Impressionnisme ; port ; bassin portuaire ; quai ; bateau à vapeur ; bateau à voiles ; mât ; grue à vapeur ; groupe de figures ; homme ; marine (paysage),A 495,"L'Anse des Pilotes, Le Havre, matin, soleil, marée montante"
5,RENOIR Pierre Auguste  (1841-1919),© 2013 MuMa Le Havre / David Fogel,1876,peinture,Huile sur toile,Hauteur avec cadre en cm : 79.5 ; Largeur avec cadre en cm : 64 ; Epaisseur avec cadre en cm : 10 ; Hauteur en cm : 54 ; Largeur en cm : 39,"collection Olivier Senn. Donation Hélène Senn-Foulds, 2004",Impressionnisme ; portrait ; personnage ; catogan,2004.3.58,Portrait de Nini Lopez
6,PISSARRO Camille  (1830-1903),© 2013 MuMa Le Havre / David Fogel,1903,peinture,huile sur toile,Hauteur avec cadre en cm : 67.3 ; Largeur avec cadre en cm : 78 ; Hauteur en cm : 54.5 ; Largeur en cm : 65.3,"achat de la Ville, 1903",Impressionnisme ; marine (paysage) ; port ; bateau à vapeur ; bateau à voiles ; lampadaire ; quai ; fumée ; bassin portuaire,A 494,"L'Anse des Pilotes et le brise-lames est, Le Havre, après-midi, temps ensoleillé"
7,MONET Claude  (1840-1926),© 2013 MuMa Le Havre / David Fogel,1904,peinture,Huile sur toile,"Hauteur en cm : 87 ; Largeur en cm : 93 ; Hauteur avec cadre en cm : 109,1 ; Largeur avec cadre en cm : 113,5 ; Epaisseur avec cadre en cm : 4,5","don de Claude Monet, 1911. En remerciement du don de trois oeuvres, la Ville du Havre a gratifié l’artiste d’une « allocation » de 3000 francs",Impressionnisme ; bassin d'eau ; fleur ; nénuphar,A 486,Les Nymphéas
8,VALLOTTON Félix  (1865-1925),© 2013 MuMa Le Havre / David Fogel,1893,peinture,huile sur toile,Hauteur avec cadre en cm : 67 ; Largeur avec cadre en cm : 56 ; Epaisseur avec cadre en cm : 5 ; Hauteur en cm : 61 ; Largeur en cm : 50 ; Profondeur en cm : 2,"collection Olivier Senn. Donation Hélène Senn-Foulds, 2004",Nabis ; scène de genre ; patinage ; couple ; redingote ; haut-de-forme ; chapeau melon ; effet de lumière ; allongement ; personnage,2004.3.68,La Valse
9,BOUDIN Eugène  (1824-1898),© 2006 MuMa Le Havre / Florian Kleinefenn,vers 1851-1859,arts graphiques,graphite sur papier vergé,Hauteur à vue : 15 ; Largeur à vue : 21.5 ; Hauteur avec cadre en cm : 33 ; Largeur avec cadre en cm : 42.9,"entré à une date inconnue, mais vraisemblablement en 1926, comme partie d'un lot de dessins acquis par échange",,BD 22,Croquis de paysans normands
10,SERUSIER Paul  (1864-1927),© 2013 MuMa Le Havre / David Fogel,1907,peinture,huile sur toile,Hauteur avec cadre en cm : 88 ; Largeur avec cadre en cm : 71.5 ; Epaisseur avec cadre en cm : 6.5 ; Hauteur en cm : 73.3 ; Largeur en cm : 54.4,"collection Olivier Senn. Donation Hélène Senn-Foulds, 2004",Post-Impressionnisme,2004.3.64,La Colline aux peupliers
11,DEGAS Edgar  (1834-1917),© MuMa Le Havre / Florian Kleinefenn,"vers 1884-1886, repris entre 1890 et 1900 ?",arts graphiques,Pastel sur papier vélin,Hauteur à vue : 40.5 ; Largeur à vue : 32 ; Hauteur avec cadre en cm : 60.2 ; Largeur avec cadre en cm : 50.5 ; Epaisseur en cm : 9,"collection Olivier Senn. Donation Hélène Senn-Foulds, 2004",,2004.3.106,"Après le bain, femme s'essuyant"
12,VUILLARD Edouard  (1868-1940),© 2011 MuMa Le Havre / Charles Maslard,1915,arts graphiques,Dessin sur papier,Hauteur avec cadre en cm : 87 ; Largeur avec cadre en cm : 63 ; Hauteur en cm : 70 ; Largeur en cm : 54,"legs Charles-Auguste Marande, 1936",,AD 133.5,Au coin de la fenêtre
13,MENARD René  (1862-1930),© 2011 MuMa Le Havre / Charles Maslard,vers 1905,arts graphiques,Pastel,"Hauteur avec cadre en cm : 41 ; Largeur avec cadre en cm : 104,2 ; Hauteur en cm : 36 ; Largeur en cm : 94,5 ; Epaisseur avec cadre en cm : 4,3","achat de la Ville, 1973",,74.1,Le Golfe
14,VALLOTTON Félix  (1865-1925),© 2013 MuMa Le Havre / David Fogel,1887,peinture,huile sur toile,Hauteur avec cadre en cm : 45 ; Largeur avec cadre en cm : 36 ; Epaisseur avec cadre en cm : 5.5 ; Hauteur en cm : 32.7 ; Largeur en cm : 24.8,"collection Olivier Senn. Donation Hélène Senn-Foulds, 2004",Post-Impressionnisme ; nature morte ; chaise ; haut-de-forme ; canne ; tableau ; porte ; table ; vase ; bouquet ; fleur ; médaillon orn. ; effet de lumière,2004.3.67,"Le Haut-de-forme, intérieur (ou) La Visite"
